step,skill,lm_loss,router_loss,router_acc,tok_per_s
3950,math,0.6501,0.0,,15964
3975,count,0.3449,0.0,,15962
3999,EVAL,0.9179,,1.0,
4000,story,2.66,0.0,,15954
4025,qa,0.318,0.0,,15957
4050,math,0.6206,0.0,,15957
4075,count,0.3468,0.0,,15960
4100,story,2.6333,0.0,,15962
4125,qa,0.3141,0.0,,15960
4150,math,0.6163,0.0,,15956
4175,count,0.3494,0.0,,15952
4200,story,2.5976,0.0,,15948
4225,qa,0.3193,0.0,,15944
4249,EVAL,0.9119,,1.0,
4250,math,0.5976,0.0,,15935
4275,count,0.344,0.0,,15930
4300,story,2.6088,0.0,,15925
4325,qa,0.3198,0.0,,15921
4350,math,0.6223,0.0,,15918
4375,count,0.344,0.0,,15914
4400,story,2.5857,0.0,,15912
4425,qa,0.3119,0.0,,15913
4450,math,0.6481,0.0,,15913
4475,count,0.3431,0.0,,15914
4499,EVAL,0.8999,,1.0,
4500,story,2.5437,0.0,,15908
4525,qa,0.3155,0.0,,15912
4550,math,0.6184,0.0,,15917
4575,count,0.3441,0.0,,15921
4600,story,2.5204,0.0,,15928
4625,qa,0.3192,0.0,,15935
4650,math,0.6264,0.0,,15939
4675,count,0.3404,0.0,,15942
4700,story,2.533,0.0,,15944
4725,qa,0.3142,0.0,,15946
4749,EVAL,0.9035,,1.0,
4750,math,0.6042,0.0,,15942
4775,count,0.3453,0.0,,15944
4800,story,2.5651,0.0,,15944
4825,qa,0.3194,0.0,,15942
4850,math,0.6127,0.0,,15942
4875,count,0.3428,0.0,,15943
4900,story,2.468,0.0,,15941
4925,qa,0.3131,0.0,,15940
4950,math,0.615,0.0,,15940
4975,count,0.3407,0.0,,15936
4999,EVAL,0.8964,,1.0,
5000,story,2.5414,0.0,,15927
5025,qa,0.3126,0.0,,15925
5050,math,0.6053,0.0,,15923
5075,count,0.3469,0.0,,15922
5100,story,2.5276,0.0,,15921
5125,qa,0.3102,0.0,,15919
5150,math,0.5862,0.0,,15918
5175,count,0.3474,0.0,,15916
5200,story,2.5404,0.0,,15915
5225,qa,0.3146,0.0,,15912
5249,EVAL,0.8828,,1.0,
5250,math,0.6008,0.0,,15904
5275,count,0.3453,0.0,,15901
5300,story,2.4964,0.0,,15900
5325,qa,0.3093,0.0,,15899
5350,math,0.6016,0.0,,15898
5375,count,0.3397,0.0,,15897
5400,story,2.5452,0.0,,15898
5425,qa,0.3172,0.0,,15898
5450,math,0.6105,0.0,,15896
5475,count,0.3423,0.0,,15894
5499,EVAL,0.8945,,1.0,
5500,story,2.468,0.0,,15887
5525,qa,0.3121,0.0,,15888
5550,math,0.6057,0.0,,15890
5575,count,0.3491,0.0,,15888
5600,story,2.4414,0.0,,15887
5625,qa,0.3173,0.0,,15884
5650,math,0.6315,0.0,,15881
5675,count,0.3436,0.0,,15879
5700,story,2.4585,0.0,,15876
5725,qa,0.3146,0.0,,15875
5749,EVAL,0.8956,,1.0,
5750,math,0.5747,0.0,,15869
5775,count,0.3465,0.0,,15867
5800,story,2.4445,0.0,,15866
5825,qa,0.3126,0.0,,15865
5850,math,0.6129,0.0,,15863
5875,count,0.3496,0.0,,15862
5900,story,2.504,0.0,,15862
5925,qa,0.3139,0.0,,15863
5950,math,0.5901,0.0,,15862
5975,count,0.3452,0.0,,15861
5999,count,0.3412,0.0,,15859
5999,EVAL,0.8887,,1.0,
